value_set_id|value_set_subgroup|value_set_item|code_type|code_version|code|description|attribute_type|attribute_value
ASCVD|ASCVD||ICD_10|2020|G45.0|Vertebro-basilar artery syndrome||
ASCVD|ASCVD||ICD_10|2020|G45.1|Carotid artery syndrome (hemispheric)||
ASCVD|ASCVD||ICD_10|2020|G45.2|Multiple and bilateral precerebral artery syndromes||
ASCVD|ASCVD||ICD_10|2020|G45.8|Other transient cerebral ischemic attacks and related syndromes||
ASCVD|ASCVD||ICD_10|2020|G45.9|Transient cerebral ischemic attack, unspecified||
ASCVD|ASCVD||ICD_10|2020|G46.3|Brain stem stroke syndrome||
ASCVD|ASCVD||ICD_10|2020|G46.4|Cerebellar stroke syndrome||
ASCVD|ASCVD||ICD_10|2020|G46.8|Other vascular syndromes of brain in cerebrovascular diseases||
ASCVD|ASCVD||ICD_10|2020|I20.0|Unstable angina||
ASCVD|ASCVD||ICD_10|2020|I20.1|Angina pectoris with documented spasm||
ASCVD|ASCVD||ICD_10|2020|I20.8|Other forms of angina pectoris||
ASCVD|ASCVD||ICD_10|2020|I20.9|Angina pectoris, unspecified||
ASCVD|ASCVD||ICD_10|2020|I21.01|STEMI involving left main coronary artery||
ASCVD|ASCVD||ICD_10|2020|I21.02|STEMI involving left anterior descending coronary artery||
ASCVD|ASCVD||ICD_10|2020|I21.09|STEMI involving oth coronary artery of anterior wall||
ASCVD|ASCVD||ICD_10|2020|I21.11|STEMI involving right coronary artery||
ASCVD|ASCVD||ICD_10|2020|I21.19|STEMI involving oth coronary artery of inferior wall||
ASCVD|ASCVD||ICD_10|2020|I21.21|STEMI involving left circumflex coronary artery||
ASCVD|ASCVD||ICD_10|2020|I21.29|STEMI involving other sites||
ASCVD|ASCVD||ICD_10|2020|I21.3|ST elevation (STEMI) myocardial infarction of unspecified site||
ASCVD|ASCVD||ICD_10|2020|I21.4|Non-ST elevation (NSTEMI) myocardial infarction||
ASCVD|ASCVD||ICD_10|2020|I21.9|Acute myocardial infarction, unspecified||
ASCVD|ASCVD||ICD_10|2020|I21.A1|Myocardial infarction type 2||
ASCVD|ASCVD||ICD_10|2020|I21.A9|Other myocardial infarction type||
ASCVD|ASCVD||ICD_10|2020|I22.0|Subsequent STEMI of anterior wall||
ASCVD|ASCVD||ICD_10|2020|I22.1|Subsequent STEMI of inferior wall||
ASCVD|ASCVD||ICD_10|2020|I22.2|Subsequent non-ST elevation (NSTEMI) myocardial infarction||
ASCVD|ASCVD||ICD_10|2020|I22.8|Subsequent STEMI of sites||
ASCVD|ASCVD||ICD_10|2020|I22.9|Subsequent STEMI of unspecified  site||
ASCVD|ASCVD||ICD_10|2020|I23.0|Hemopericardium as current complication following AMI||
ASCVD|ASCVD||ICD_10|2020|I23.1|Atrial septal defect as current complication following AMI||
ASCVD|ASCVD||ICD_10|2020|I23.2|Ventricular septal defect as current comp following AMI||
ASCVD|ASCVD||ICD_10|2020|I23.3|Rupture of cardiac wall w/o hemopericardium as current complication following AMI||
